,,Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
1923,0,Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöv,Sweden,Sweden,Member,Agriculture
1923,1,Angot,Alfred,1848,1924,,Paris,Paris,France,France,Member,Meteorology
1923,2,Azzi,Girolamo,1885,1969,Italian Central Office of Meteorology and Geodynamics,Rome,Rome,Italy,Italy,Member,Agriculture
1923,3,Bates,Daniel Cross,1868,1954,Dominion Meteorological Office,Wellington,Wellington,New Zealand,New Zealand,Member,Meteorology
1923,4,Berloty,Bonaventure,1856,1934,Ksara Observatory,Ksara,Ksara,Syria,Lebanon,Member,Meteorology
1923,5,Brounov,Peter Ivanovich,1853,1927,"Agricultural Meteorology Bureau, Institute of Botany",Petrograd,St Petersburg,Russia,Russia,Member,Agriculture
1923,6,Carton,Paul,1891,1969,General Inspectorate for Agriculture of the French Indochina,Hanoi,Hanoi,Indochine,Vietnam,Member,Agriculture
1923,7,Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
1923,8,La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1923,9,Dongier,Raphaël,1866,1929,Institute for Geosciences,Paris,Paris,France,France,Member,Meteorology
1923,10,Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Member,Agriculture
1923,11,van Everdingen,Ewoud,1873,1955,Royal Dutch Meteorological Institute,De Bilt,De Bilt,The Netherlands,The Netherlands,Member,Meteorology
1923,12,Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Institute,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Member,Meteorology 
1923,13,Figuereido,Filipe Eduardo de Almeida,1858,1930,Portuguese Agronomic Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
1923,14,Fisher,Ronald Aylmer,1890,1962,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Member,Agriculture
1923,15,Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Member,Meteorology
1923,16,Galbis,José,1868,1952,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Member,Geography
1923,17,Gomes,Mário de Azevedo,1885,1965,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
1923,18,Hagem,Oscar,1885,1982,Bergen Museum,Bergen,Bergen,Norway,Norway,Member,Agriculture
1923,19,Hansen,Hans Jensen,1875,1968,Climatology Bureau of the Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1923,20,Hartman,Christian M. A.,1866,1925,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,Member,Meteorology
1923,21,Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Christiania,Oslo,Norway,Norway,Member,Meteorology
1923,22,Hooker,Reginald Hawthorn,1867,1944,British Ministry of Agriculture and Fisheries,London,London,Great Britain,Great Britain,Member,Agriculture
1923,23,Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,Member,Meteorology
1923,24,Mercanton,Paul Louis,1876,1963,"University of Lausanne and Meteorological Service, Canton of Vaud",Lausanne,Lausanne,Switzerland,Switzerland,Member,Meteorology
1923,25,Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Member,Meteorology
1923,26,Rey,Pierre,1876,1946,French Agricultural Meteorological Service,Paris,Paris,France,France,Secretary,Agriculture
1923,27,Schönrock,Alexander Michajlovič,1853,1937,Central Geophysical Observatory,Leningrad,St Petersburg,USSR,Russia,Member,Meteorology
1923,28,Shaw,William Napier,1854,1945,Imperial College,London,London,Great Britain,Great Britain,Member,Meteorology
1923,29,Shutt,Frank Thomas,1859,1940,Dominion Experimental Farm,Ottawa,Ottawa,Canada,Canada,Member,Agriculture
1923,30,Simpson,George Clarke,1878,1965,British Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
1923,31,Smith,John Warren,1863,1940,"Division of Agricultural Meteorology, US Weather Bureau",Washington,Washington,United States,United States,Member,Agriculture
1923,32,Taylor,Thomas Griffith,1880,1963,"Department of Geography, University of Sydney",Sydney,Sydney,Australia,Australia,Member,Geography
1923,33,Wallén,Axel Wilhelm,1877,1935,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,President,Meteorology
1923,34,Wehrlé,Philippe,1890,1965,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
1923,35,Wery,Georges Eugène,1861,1936,French National Agronomy Institute,Paris,Paris,France,France,Member,Agriculture
1923,36,Westerdijk,Johanna,1883,1961,"W. C. Scholten Laboratory, University of Utrecht",Baarn,Baarn,The Netherlands,The Netherlands,Member,Agriculture
1923,37,Whipple,Francis John Welsh,1876,1943,British Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
1926,0,Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöv,Sweden,Sweden,Member,Agriculture
1926,1,Askinazy,Vladimir Osipovich,1873,1928,Central Geophysical Observatory ,Leningrad,St Petersburg,USSR,Russia,Member,Meteorology
1926,2,Azzi,Girolamo,1885,1969,Agronomy Institute,Perugia,Perugia,Italy,Italy,Member,Agriculture
1926,3,Bates,Daniel Cross,1868,1954,Dominion Meteorological Office,Wellington,Wellington,New Zealand,New Zealand,Member,Meteorology
1926,4,Berloty,Bonaventure,1856,1934,Ksara Observatory,Ksara,Ksara,Syria,Lebanon,Member,Meteorology
1926,5,Braak,Cornelis,1880,1973,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,Member,Meteorology
1926,6,Brounov,Peter Ivanovich,1853,1927,"Agricultural Meteorology Bureau, Institute of Botany",Leningrad,St Petersburg,USSR,Russia,Member,Agriculture
1926,7,Carton,Paul,1891,1969,General Inspectorate for Agriculture of the French Indochina,Hanoi,Hanoi,France (French Indochina),Vietnam,Member,Agriculture
1926,8,Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
1926,9,La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1926,10,Dongier,Raphaël,1866,1929,Institute for Geosciences,Paris,Paris,France,France,Member,Meteorology
1926,11,Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Member,Agriculture
1926,12,Eredia,Filippo,1877,1948,Italian Central Bureau of Meteorology and Geodynamics,Rome,Rome,Italy,Italy,Member,Meteorology
1926,13,Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Service,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Member,Meteorology
1926,14,Figuereido,Filipe Eduardo de Almeida,1858,1930,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
1926,15,Fisher,Ronald Aylmer,1890,1962,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Member,Agriculture
1926,16,Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Member,Meteorology
1926,17,Galbis,José,1868,1952,National Association of Agricultural Insurances,Madrid,Madrid,Spain,Spain,Member,Geography
1926,18,Gomes,Mário de Azevedo,1885,1965,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
1926,19,Hagem,Oscar,1885,1982,Bergen Museum,Bergen,Bergen,Norway,Norway,Member,Agriculture
1926,20,Hansen,Hans Jensen,1875,1968,Climatology Bureau of the Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1926,21,Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Member,Meteorology
1926,22,Holdefleiss,Paul,1865,1940,"Agronomy Institute, University of Halle",Halle,Halle,Germany,Germany,Member,Agriculture
1926,23,Hooker,Reginald Hawthorn,1867,1944,British Ministry of Agriculture and Fisheries,London,London,Great Britain,Great Britain,Member,Agriculture
1926,24,Knoch,Karl,1883,1972,Prussian Meteorological Institute,Berlin,Berlin,Germany,Germany,Member,Meteorology
1926,25,Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,Member,Meteorology
1926,26,Melander,Gustaf,1861,1938,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1926,27,Mercanton,Paul Louis,1876,1963,"University of Lausanne and Meteorological Service, Canton of Vaud",Lausanne,Lausanne,Switzerland,Switzerland,Member,Meteorology
1926,28,Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Member,Meteorology
1926,29,Rey,Pierre,1876,1946,French Agronomy Research Institute,Paris,Paris,France,France,Secretary,Agriculture
1926,30,Sabucedo del Arenal,Serafin,1889,1976,Spanish Meteorological Institute,Madrid,Madrid,Spain,Spain,Member,Agriculture
1926,31,Schmidt,Wilhelm Mathäus,1883,1936,Academy for Natural Resources,Vienna,Vienna,Austria,Austria,Member,Meteorology
1926,32,Schönrock,Alexander Michajlovič,1853,1937,Central Geophysical Observatory,Leningrad,St Petersburg,USSR,Russia,Member,Meteorology
1926,33,Schubert,Johannes,1859,1947,Forestry Academy,Eberswalde,Eberswalde,Germany,Germany,Member,Meteorology
1926,34,Shaw,William Napier,1854,1945,,London,London,Great Britain,Great Britain,Member,Meteorology
1926,35,Shutt,Frank Thomas,1859,1940,Dominion Experimental Farm,Ottawa,Ottawa,Canada,Canada,Member,Agriculture
1926,36,Simpson,George Clarke,1878,1965,British Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
1926,37,Smith,John Warren,1863,1940,"Division of Agricultural Meteorology, US Weather Bureau",Washington,Washington,United States,United States,Member,Agriculture
1926,38,Stewart,Charles M.,,,South African Meteorological Institute,Pretoria,Pretoria,South Africa,South Africa,Member,Meteorology
1926,39,Taylor,Thomas Griffith,1880,1963,"Geography Department, University of Sydney",Sydney,Sydney,Australia,Australia,Member,Geography
1926,40,Wallén,Axel Wilhelm,1877,1935,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,President,Meteorology
1926,41,Wehrlé,Philippe,1890,1965,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
1926,42,Wery,Georges Eugène,1861,1936,French National Agronomy Institute,Paris,Paris,France,France,Member,Agriculture
1926,43,Westerdijk,Johanna,1883,1961,"W. C. Scholten Laboratory, University of Utrecht",Baarn,Baarn,The Netherlands,The Netherlands,Member,Agriculture
1929,0,Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöv,Sweden,Sweden,Member,Agriculture
1929,1,Azzi,Girolamo,1885,1969,Agronomy Institute,Perugia,Perugia,Italy,Italy,Member,Agriculture
1929,2,Bamford,Alec Joscelyne,1885,1957,Colombo Observatory,Colombo,Colombo,Great Britain (Ceylon),Sri Lanka,Member,Meteorology
1929,3,Barloti,Jānis,1895,1965,Central Meteorological Bureau of Latvia,Riga,Riga,Latvia,Latvia,Member,Agriculture
1929,4,Bates,Daniel Cross,1868,1954,Dominion Meteorological Office,Wellington,Wellington,New Zealand,New Zealand,Member,Meteorology
1929,5,Berloty,Bonaventure,1856,1934,Ksara Observatory,Ksara,Ksara,France (French Syria),Lebanon,Member,Meteorology
