,,Surname,Name,Born,Died,Affiliation,City (Affiliation) History,City (Affiliation) Geography,Nation (Affiliation) History,Nation (Affiliation) Geography,Role in the IMO Commission,Field of study
1932,20,Geiger,Rudolf,1894,1981,Bavarian Meteorological Service,Munich,Munich,Germany,Germany,Member,Meteorology
1932,21,Geslin,Henri,1899,1976,French National Institute for Agronomy Research,Versailles,Versailles,France,France,Member,Agriculture
1932,22,Girola,Carlos de Alberti,1869,1934,National University of Buenos Aires,Buenos Aires,Buenos Aires,Argentina,Argentina,Member,Agriculture
1932,23,Gomes,Mário de Azevedo,1885,1965,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
1932,24,Hansen,Hans Jensen,1875,1968,Climatology Bureau of the Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1932,25,Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Member,Meteorology
1932,26,Hiltner,Erhard,1893,1934,Bavarian State Research Institute for Plant Cultivation and Plant Protection,Munich,Munich,Germany,Germany,Member,Agriculture
1932,27,Hirata,Tokutarō,1880,1960,Forestry Experimental Station,Tokyo,Tokyo,Japan,Japan,Member,Agriculture
1932,28,Holdefleiss,Paul,1865,1940,"Agronomy Institute, University of Halle",Halle,Halle,Germany,Germany,Member,Agriculture
1932,29,Hooker,Reginald Hawthorn,1867,1944,British Ministry of Agriculture and Fisheries,London,London,Great Britain,Great Britain,Member,Agriculture
1932,30,Hubert,Henry,1879,1941,"Central Service for Colonial Meteorology, French Ministry of Colonies",Paris,Paris,France,France,Member,Geography
1932,31,Keränen,Jaakko,1883,1979,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1932,32,Kincer,Joseph Burton,1874,1954,"US Weather Bureau, Climate and Crop Weather Division",Washington,Washington,USA,USA,Member,Meteorology
1932,33,Kiroff,Kiro T.,1897,1961,Bulgarian Meteorological Service,Sofia,Sofia,Bulgaria,Bulgaria,Member,Meteorology
1932,34,Knoch,Karl,1883,1972,Prussian Meteorological Institute,Berlin,Berlin,Germany,Germany,Member,Meteorology
1932,35,Koloskov,Pavel Ivanovic,1887,1968,Geophysics Observatory of the Far East,Vladivostock,Vladivostock,USSR,Russia,Member,Meteorology
1932,36,Korhonen,Ville Vihtori,1885,1958,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1932,37,Mariolopulos,Elias G.,1900,1991,"Meteorological and Climatological Institute, University of Thessaloniki",Thessaloniki,Thessaloniki,Greece,Greece,Member,Meteorology
1932,38,Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,Member,Meteorology
1932,39,Melander,Gustaf,1861,1938,Finnish Meteorological Service,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1932,40,Mercanton,Paul Louis,1876,1963,"University of Lausanne and Meteorological Service, Canton of Vaud",Lausanne,Lausanne,Switzerland,Switzerland,Member,Meteorology
1932,41,Meseguer y Marin,Enrique,1879,,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Member,Meteorology
1932,42,Normand,Charles William Blyth,1889,1982,Indian Meteorological Department,Poona,Pune,Great Britain (India),India,Member,Meteorology
1932,43,Nuño,Waldo,,1935,Chilean Meteorological Office,Santiago de Chile,Santiago de Chile,Chile,Chile,Member,Meteorology
1932,44,Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Member,Meteorology
1932,45,Patterson,John,1872,1956,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
1932,46,Proudhomme,Émile,1871,1963,French National Institute for Colonial Agriculture,Nogent-sur-Marne,Nogent-sur-Marne,France,France,Member,Agriculture
1932,47,Ramdas,Lakshminarayanapuram Ananthakrishnaiyer,1900,1979,Indian Meteorological Department - Agricultural Meteorology Section,Poona,Pune,Great Britain,India,Member,Meteorology
1932,48,Rey,Pierre,1876,1946,French Agronomy Research Institute,Paris,Paris,France,France,Member,Agriculture
1932,49,Sabucedo del Arenal,Serafin,1889,1976,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Member,Agriculture
1932,50,Sanson,Joseph,1889,1958,French Meteorological Service,Paris,Paris,France,France,Member,Agriculture
1932,51,Schindler,Pierre,,1966,Geophysics and Meteorological Service of the Sherifian Scientific Institute,Casablanca,Casablanca,France,Morocco,Member,Agriculture
1932,52,Schmidt,Wilhelm Mathäus,1883,1936,Central Office for Meteorology and Geodynamics,Vienna,Vienna,Austria,Austria,Secretary,Meteorology
1932,53,Schönrock,Alexander Michajlovič,1853,1937,Central Geophysical Observatory,Leningrad,St Petersburg,USSR,Russia,Member,Meteorology
1932,54,Schubert,Johannes,1859,1947,Forestry Academy,Eberswalde,Eberswalde,Germany,Germany,Member,Meteorology
1932,55,Shaw,William Napier,1854,1945,,London,London,Great Britain,Great Britain,Member,Meteorology
1932,56,Shutt,Frank Thomas,1859,1940,Dominion Experimental Farm,Ottawa,Ottawa,Canada,Canada,Member,Agriculture
1932,57,Simpson,George Clarke,1878,1965,Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
1932,58,Sophoterow,Nikolai Kvintilianovich,1881,1935,Ukranian Meteorological and Hydrological Office,Kiev,Kiev,USSR,Ukraine,Member,
1932,59,Stewart,Charles M.,,,Department of Irrigation,Pretoria,Pretoria,South Africa,South Africa,Member,Meteorology
1932,60,Taylor,Thomas Griffith,1880,1963,"Department of Geography, University of Chicago",Chicago,Chicago,USA,USA,Member,Geography
1932,61,Wallén,Axel Wilhelm,1877,1935,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,President,Meteorology
1932,62,Walter,Albert,1877,1972,British East African Meteorological Service,Nairobi,Nairobi,Kenya,Kenya,Member,Meteorology
1932,63,Wehrlé,Philippe,1890,1965,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
1932,64,Wery,Georges Eugène,1861,1936,French National Agronomy Institute,Paris,Paris,France,France,Member,Agriculture
1932,65,Westerdijk,Johanna,1883,1961,"W. C. Scholten Laboratory, University of Utrecht",Baarn,Baarn,The Netherlands,The Netherlands,Member,Agriculture
1925,0,Åkerman,Ake,1887,1955,Svalöf Plant Breeding Institute,Svalöf,Svalöv,Sweden,Sweden,Member,Agriculture
1925,1,Ångstrøm,Anders Knutsson,1888,1981,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,Member,Meteorology
1925,2,Azzi,Girolamo,1885,1969,Agronomy Institute,Perugia,Perugia,Italy,Italy,Member,Agriculture
1925,3,Bamford,Alec Joscelyne,1885,1957,,Welwyn Garden City,Welwyn Garden City,Great Britain,Great Britain,Member,Meteorology
1925,4,Barloti,Jānis,1895,1965,Central Meteorological Bureau of Latvia,Riga,Riga,Latvia,Latvia,Member,Agriculture
1925,5,Bates,Daniel Cross,1868,1954,,Auckland,Auckland,New Zealand,New Zealand,Member,Meteorology
1925,6,Berce,Richard Jules,1899,1949,"Agronomy Institute, Gembloux",Gembloux,Gembloux,Belgium,Belgium,Member,Agriculture
1925,7,Bergeiro,José Maria,1906,1947,Uruguayan Meteorological Service,Montevideo,Montevideo,Uruguay,Uruguay,Member,Meteorology
1925,8,Birkeland,Bernt Johannes,1879,1955,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Member,Meteorology
1925,9,Braak,Cornelis,1880,1973,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,Secretary,Meteorology
1925,10,Bureau,Robert,1892,1965,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
1925,11,Carton,Paul,1891,1969,"Climatology and Agricultural Meteorology Bureau, Indochina Central Observatory",Hanoi,Hanoi,France,Vietnam,Member,Agriculture
1925,12,Chaptal,Léon,1882,1949,Central Experimental Station for Agricultural Physics and Climatology,Montpellier,Montpellier,France,France,Member,Agriculture
1925,13,Connor,Abraham James,1884,1955,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
1925,14,La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1925,15,Delcambre,Émile,1871,1951,,"Denée, Maine-et-Loire",Denée,France,France,Member,Meteorology
1925,16,Dop,Louis,1866,1935,International Institute of Agriculture,Rome,Rome,Italy,Italy,Member,Agriculture
1925,17,Duckert,Paul A. O. ,1900,1966,State Meteorological Service,Berlin,Berlin,Germany,Germany,Member,Meteorology
1925,18,Eredia,Filippo,1877,1948,"Forecasting Service, Italian Central Bureau of Meteorology and Geodynamics",Rome,Rome,Italy,Italy,Member,Meteorology
1925,19,Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Institute,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Member,Meteorology
1925,20,Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Member,Meteorology
1925,21,Galbis,José,1868,1952,Geographic Engineers Service,Madrid,Madrid,Spain,Spain,Member,Geography
1925,22,Geiger,Rudolf,1894,1981,Bavarian Meteorological Service,Munich,Munich,Germany,Germany,Member,Meteorology
1925,23,Geslin,Henri,1899,1976,French National Institute for Agronomy Research,Versailles,Versailles,France,France,Member,Agriculture
1925,24,Gomes,Mário de Azevedo,1885,1965,Portuguese Agronomy Institute,Lisbon,Lisbon,Portugal,Portugal,Member,Agriculture
1925,25,Gumiński,Romuald,1896,1952,Polish Meteorological Institute,Warsaw,Warsaw,Poland,Poland,Member,Meteorology
1925,26,Hansen,Hans Jensen,1875,1968,Climatology Bureau of the Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1925,27,Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Member,Meteorology
1925,28,Hirata,Tokutarō,1880,1960,Forestry Experimental Station,Tokyo,Tokyo,Japan,Japan,Member,Agriculture
1925,29,Holdefleiss,Paul,1865,1940,"Agronomy Institute, University of Halle",Halle,Halle,Germany,Germany,Member,Agriculture
1925,30,Hooker,Reginald Hawthorn,1867,1944,Ministry of Agriculture and Fisheries,London,London,Great Britain,Great Britain,Member,Agriculture
1925,31,Hubert,Henry,1879,1941,"Central Service for Colonial Meteorology, French Ministry of Colonies",Paris,Paris,France,France,Member,Geography
1925,32,Keränen,Jaakko,1883,1979,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1925,33,Kessler,Otto Wilhelm,1899,1945,"State Meteorological Service, Research Unit on Agricultural Meteorology",Trier,Trier,Germany,Germany,Member,Meteorology
1925,34,Kincer,Joseph Burton,1874,1954,"US Weather Bureau, Climate and Crop Weather Division",Washington,Washington,USA,USA,Member,Meteorology
1925,35,Kiroff,Kiro T.,1897,1961,Bulgarian Meteorological Service,Sofia,Sofia,Bulgaria,Bulgaria,Member,Meteorology
1925,36,Knoch,Karl,1883,1972,State Meteorological Service,Berlin,Berlin,Germany,Germany,Member,Meteorology
1925,37,Koloskov,Pavel Ivanovic,1887,1968,Geophysics Observatory of the Far East,Vladivostock,Vladivostock,USSR,Russia,Member,Meteorology
1925,38,Korhonen,Ville Vihtori,1885,1958,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1925,39,Koschmieder,Harald,1897,1966,Meteorological Observatory Lindenberg,Lindenberg,Lindenberg,Germany,Germany,Member,Meteorology
1925,40,Lugeon,Jean,1898,1976,Polish Meteorological Institute,Warsaw,Warsaw,Poland,Poland,Member,Meteorology
1925,41,Mariolopulos,Elias G.,1900,1991,Greek National Observatory,Athens,Athens,Greece,Greece,Member,Meteorology
1925,42,Mathias,Émile,1861,1942,Puy-de-Dôme Observatory,Clermont-Ferrand,Clermont-Ferrand,France,France,Member,Meteorology
1925,43,Melander,Gustaf,1861,1938,Finnish Meteorological Service,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1925,44,Mercanton,Paul Louis,1876,1963,Central Swiss Meteorological Service,Zurich,Zurich,Switzerland,Switzerland,Member,Meteorology
1925,45,Meseguer y Marin,Enrique,1879,,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Member,Meteorology
1925,46,Normand,Charles William Blyth,1889,1982,Indian Meteorological Department,Poona,Pune,Great Britain,India,Member,Meteorology
1925,47,Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Member,Meteorology
1925,48,Patterson,John,1872,1956,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
1925,49,Proudhomme,Émile,1871,1963,French National Institute for Colonial Agriculture,Nogent-sur-Marne,Nogent-sur-Marne,France,France,Member,Agriculture
1925,50,Ramdas,Lakshminarayanapuram Ananthakrishnaiyer,1900,1979,Indian Meteorological Department - Agricultural Meteorology Section,Poona,Pune,Great Britain,India,Member,Meteorology
1925,51,Réthly,Anton,1879,1975,Hungarian Meteorological Service,Budapest,Budapest,Hungary,Hungary,Member,Meteorology
1925,52,Rey,Pierre,1876,1946,French Agronomy Research Institute,Paris,Paris,France,France,Member,Agriculture
1925,53,Sabucedo del Arenal,Serafin,1889,1976,Spanish Meteorological Service,Madrid,Madrid,Spain,Spain,Member,Agriculture
1925,54,Sanson,Joseph,1889,1958,French Meteorological Service,Paris,Paris,France,France,Member,Agriculture
1925,55,Schindler,Pierre,,1966,Geophysics and Meteorological Service of the Sherifian Scientific Institute,Casablanca,Casablanca,France,Morocco,Member,Agriculture
1925,56,Schmidt,Wilhelm Mathäus,1883,1936,Central Office for Meteorology and Geodynamics,Vienna,Vienna,Austria,Austria,President,Meteorology
1925,57,Schönrock,Alexander Michajlovič,1853,1937,Central Geophysical Observatory,Leningrad,St Petersburg,USSR,Russia,Member,Meteorology
1925,58,Schubert,Johannes,1859,1947,Forestry Academy,Eberswalde,Eberswalde,Germany,Germany,Member,Meteorology
1925,59,Shaw,William Napier,1854,1945,,London,London,Great Britain,Great Britain,Member,Meteorology
1925,60,Shutt,Frank Thomas,1859,1940,Dominion Experimental Farm,Ottawa,Ottawa,Canada,Canada,Member,Agriculture
1925,61,Simpson,George Clarke,1878,1965,British Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
1925,62,Sophoterow,Nikolai Kvintilianovich,1881,1935,Ukranian Meteorological and Hydrological Office,Kiev,Kiev,USSR,Ukraine,Member,
1925,63,Stewart,Charles M.,,,South African Meteorological Institute,Pretoria,Pretoria,South Africa,South Africa,Member,Meteorology
1925,64,Taylor,Thomas Griffith,1880,1963,"Geography Institute, University of Toronto",Toronto,Toronto,Canada,Canada,Member,Geography
1925,65,Walter,Albert,1877,1972,British East African Meteorological Service,Nairobi,Nairobi,Great Britain,Kenya,Member,Meteorology
1925,66,Wehrlé,Philippe,1890,1965,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
1925,67,Westerdijk,Johanna,1883,1961,"W. C. Scholten Laboratory, University of Utrecht",Baarn,Baarn,The Netherlands,The Netherlands,Member,Agriculture
1937,0,Agostinho,José,1888,1978,Azores Meteorological Service,Angra do Heroismo,Angra ,Portugal (Azores),Portugal,Member,Meteorology
1937,1,Ångstrøm,Anders Knutsson,1888,1981,Swedish Hydrographical and Meteorological Service,Stockholm,Stockholm,Sweden,Sweden,Member,Meteorology
1937,2,Azzi,Girolamo,1885,1969,"Agronomy Department, University of Perugia",Perugia,Perugia,Italy,Italy,Member,Agriculture
1937,3,Barloti,Jānis,1895,1965,Central Meteorological Bureau of Latvia,Riga,Riga,Latvia,Latvia,Member,Agriculture
1937,4,Berce,J. M.,1899,1949,Agronomy Institute Gembloux,Gembloux,Gembloux,Belgium,Belgium,Member,Agriculture
1937,5,Berényi,Dénes,1900,1971,"University of Debrecen, Meteorological Institute",Debrecen,Debrecen,Hungary,Hungary,Member,Meteorology
1937,6,Bergeiro,José Maria,1906,1947,Uruguayan Meteorological Service,Montevideo,Montevideo,Uruguay,Uruguay,Member,Meteorology
1937,7,Braak,Cornelis,1880,1973,Royal Dutch Meteorological Institute,de Bilt,de Bilt,The Netherlands,The Netherlands,President,Meteorology
1937,8,Bureau,Robert,1892,1965,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
1937,9,Carton,Paul,1891,1969,General Inspectorate for Agriculture of the French Indochina,Hanoi,Hanoi,France (French Indochina),Vietnam,Member,Agriculture
1937,10,Chaptal,Léon,1882,1949,Central Experimental Station for Agricultural Physics and Climatology,Montpellier,Montpellier,France,France,Member,Agriculture
1937,11,La Cour,Dan,1876,1942,Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1937,12,Delcambre,Émile,1871,1951,,"Denée, Maine-et-Loire",Denée,France,France,Member,Meteorology
1937,13,Duckert,Paul A. O.,1900,1966,State Meteorological Service,Berlin,Berlin,Germany,Germany,Member,Meteorology
1937,14,Eredia,Filippo,1877,1948,"Forecasting Service, Italian Air Ministry",Rome,Rome,Italy,Italy,Member,Meteorology
1937,15,Ferraz,Joaquim de Sampaio,1882,1966,Brasilian Meteorological Institute,Rio de Janeiro,Rio de Janeiro,Brasil,Brasil,Member,Meteorology
1937,16,Fleischmann,Rudolf,1879,1950,Kompolt Agricultural Station,Kompolt,Kompolt,Hungary,Hungary,Member,Agriculture
1937,17,Fontseré i Riba,Eduardo,1870,1970,Catalan Meteorological Service,Barcelona,Barcelona,Spain,Spain,Member,Meteorology
1937,18,Geiger,Rudolf,1894,1981,Forestry Academy,Eberswalde,Eberswalde,Germany,Germany,Secretary,Meteorology
1937,19,Geslin,Henri,1899,1976,French National Institute for Agronomy Research,Versaillles,Versaillles,France,France,Member,Agriculture
1937,20,Godard,Marcelin,1909,1994,French National Institute for Agronomy Research,Versaillles,Versaillles,France,France,Member,Agriculture
1937,21,Gumiński,Romuald,1896,1952,Polish Meteorological Institute,Warsaw,Warsaw,Poland,Poland,Member,Meteorology
1937,22,Hansen,Hans Jensen,1875,1968,Climatology Bureau of the Danish Meteorological Institute,Copenhagen,Copenhagen,Denmark,Denmark,Member,Meteorology
1937,23,Hesselberg,(Hans) Theodor,1885,1966,Norwegian Meteorological Institute,Oslo,Oslo,Norway,Norway,Member,Meteorology
1937,24,Hirata,Tokutarō,1880,1960,Forestry Experimental Station,Tokyo,Tokyo,Japan,Japan,Member,Agriculture
1937,25,Hubert,Henry,1879,1941,"Central Service for Colonial Meteorology, French Ministry of Colonies",Paris,Paris,France,France,Member,Geography
1937,26,Keen,Bernard A. ,1890,1981,Rothamsted Experimental Station,Harpenden,Harpenden,Great Britain,Great Britain,Member,Agriculture
1937,27,Keränen,Jaakko,1883,1979,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1937,28,Kessler,Otto Wilhelm,1899,1945,"State Meteorological Service, Research Unit on Agricultural Meteorology",Trier,Trier,Germany,Germany,Member,Meteorology
1937,29,Kincer,Joseph Burton,1874,1954,"US Weather Bureau, Climate and Crop Weather Division",Washington,Washington,USA,USA,Member,Meteorology
1937,30,Kiroff,Kiro T.,1897,1961,Bulgarian Meteorological Service,Sofia,Sofia,Bulgaria,Bulgaria,Member,Meteorology
1937,31,Knoch,Karl,1883,1972,State Meteorological Service,Berlin,Berlin,Germany,Germany,Member,Meteorology
1937,32,Koloskov,Pavel Ivanovic,1887,1968,Geophysics Observatory of the Far East,Vladivostock,Vladivostock,USSR,Russia,Member,Meteorology
1937,33,Korhonen,Ville Vihtori,1885,1958,Finnish Meteorological Institute,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1937,34,Lugeon,Jean,1898,1976,Polish Meteorological Institute,Warsaw,Warsaw,Poland,Poland,Member,Meteorology
1937,35,Mariolopulos,Elias G.,1900,1991,Greek National Observatory,Athens,Athens,Greece,Greece,Member,Meteorology
1937,36,Melander,Gustaf,1861,1938,Finnish Meteorological Service,Helsinki,Helsinki,Finland,Finland,Member,Meteorology
1937,37,Mercanton,Paul Louis,1876,1963,Swiss Meteorological Service,Zurich,Zurich,Switzerland,Switzerland,Member,Meteorology
1937,38,Nagle,Austen H.,1903,1984,Irish Meteorological Service,Dublin,Dublin,Ireland,Ireland,Member,Meteorology
1937,39,Normand,Charles William Blyth,1889,1982,Indian Meteorological Department,Poona,Pune,India,India,Member,Meteorology
1937,40,Okada,Takematsu,1874,1956,Japan Central Meteorological Observatory,Tokyo,Tokyo,Japan,Japan,Member,Meteorology
1937,41,Patterson,John,1872,1956,Canadian Meteorological Service,Toronto,Toronto,Canada,Canada,Member,Meteorology
1937,42,Proudhomme,Émile,1871,1963,French National Institute for Colonial Agriculture,Nogent-sur-Marne,Nogent-sur-Marne,France,France,Member,Agriculture
1937,43,Ramdas,Lakshminarayanapuram Ananthakrishnaiyer,1900,1979,Indian Meteorological Department - Agricultural Meteorology Section,Poona,Pune,Great Britain,India,Member,Meteorology
1937,44,Réthly,Anton,1879,1975,Hungarian Meteorological Service,Budapest,Budapest,Hungary,Hungary,Member,Meteorology
1937,45,Rey,Pierre,1876,1946,French Agronomy Research Institute,Paris,Paris,France,France,Member,Agriculture
1937,46,Sanson,Joseph,1889,1958,French Meteorological Service,Paris,Paris,France,France,Member,Agriculture
1937,47,Schedler,Anton,1891,1973,Central Observatory for Meteorology and Geodynamics,Vienna,Vienna,Austria,Austria,Member,Meteorology
1937,48,Schindler,Pierre,,1966,Moroccan Inspectorate for Agriculture,Rabat,Rabat,France,Morocco,Member,Agriculture
1937,49,Schubert,Johannes,1859,1947,Forestry Academy,Eberswalde,Eberswalde,Germany,Germany,Member,Meteorology
1937,50,Simpson,George Clarke,1878,1965,Meteorological Office,London,London,Great Britain,Great Britain,Member,Meteorology
1937,51,Sophoterow,Nikolai Kvintilianovich,1881,1935,Ukranian Meteorological and Hydrological Office,Kiev,Kiev,USSR,Ukraine,Member,
1937,52,Stewart,Charles M.,,,South African Meteorological Institute,Pretoria,Pretoria,South Africa,South Africa,Member,Meteorology
1937,53,Taylor,Thomas Griffith,1880,1963,"Geography Institute, University of Toronto",Toronto,Toronto,Canada,Canada,Member,Geography
1937,54,Walter,Albert,1877,1972,British East African Meteorological Service,Nairobi,Nairobi,Great Britain (Kenya),Kenya,Member,Meteorology
1937,55,Wehrlé,Philippe,1890,1965,French Meteorological Service,Paris,Paris,France,France,Member,Meteorology
